l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,ipc,cpi,sim_ticks,l1d_miss_rate,l2_miss_rate
32KiB,128KiB,1MB,4,4,0.276884,3.611623,4198666257000,0.015978,0.596186
32KiB,128KiB,1MB,8,4,0.27687,3.611808,4198881246000,0.01603,0.594252
32KiB,128KiB,1MB,16,4,0.276865,3.611866,4198947709000,0.016055,0.593296
