,mean,min,max,std
sim_ticks,1350382344305.5557,1016018364000.0,2283670824000.0,538957556440.1127
cpi,6.150411212962963,4.627527,10.401139,2.454720083633357
ipc,0.18243182407407404,0.096143,0.216098,0.05027560897372643
l1d_hit_rate,0.4976593489192149,0.49400994180385144,0.49950484353880764,0.002585264005369297
l1i_hit_rate,0.9999987969285612,0.9999987611815614,0.9999988166510437,2.54400413881516e-08
l2_hit_rate,0.7386770989557185,1.7604612455724106e-05,0.9992495867818819,0.42683951343798177
