l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,sim_ticks,l1d_hit_rate,l2_hit_rate
16kB,64kB,1MB,8,8,4,1016018364000,0.49950484353880764,0.9992413475397436
16kB,64kB,1MB,8,8,8,1016018364000,0.49950484353880764,0.9992413475397436
16kB,64kB,1MB,8,8,16,1016018364000,0.49950484353880764,0.9992413475397436
