l1d_assoc,sim_ticks,sim_seconds,cpi,ipc,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
2,1082503105000,1.082503,4.930336,0.202826,0.49400994180385144,0.9999987611815614,0.9587644956495083,17112899,705673
4,1074179126000,1.074179,4.892424,0.204398,0.4994603144950937,0.9999988129530782,0.9583156342982697,16928564,705670
8,1074179011000,1.074179,4.892424,0.204398,0.49946037363060997,0.9999988166510437,0.9583156859819364,16928562,705669
