l2_assoc,sim_ticks,sim_seconds,cpi,ipc,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
4,1049896087000,1.049896,4.781825,0.209125,0.4994603144950937,0.9999988129530782,0.9747004070970045,16928564,428294
8,1074179126000,1.074179,4.892424,0.204398,0.4994603144950937,0.9999988129530782,0.9583156342982697,16928564,705670
16,1123292915000,1.123293,5.116116,0.195461,0.4994603144950937,0.9999988129530782,0.9254553562256802,16928564,1261958
